Branch_ID,x1_OpCost,x2_Staff,z1_GreenDeposits,z2_ESGAccounts,y1_GreenRevenue,y2_CarbonNPL,E0_NonOriented,True_Archetype,Reduct_%_OpCost,Reduct_%_Staff,Expand_%_Revenue,Mitigat_%_CarbonNPL
BR_001,2.035313656225323,9.632550413513641,5.580528539720655,161.61424742790186,6.990457949261016,1.5188526397088444,0.5311,Archetype_A,35.1,36.2,0.0,62.4
BR_002,2.803407064494098,20.990757752070735,8.117100914957247,290.7542056462157,7.264814522674234,0.3891823546264765,0.4734,Archetype_A,15.2,47.3,0.0,98.5
BR_003,2.648284552143642,18.356608192084103,7.727006483419079,246.8746412851265,10.19020279629907,0.9350550503437607,0.5488,Archetype_A,23.8,48.8,0.0,90.5
BR_004,2.994801481902564,10.9775439374958,6.718435579245727,276.00338955349173,8.620240527581313,0.766696140779468,0.5734,Archetype_A,24.6,4.3,0.0,99.1
BR_005,1.7271727122002225,14.86860884479639,8.069240832045407,163.18948143675374,8.729302514306873,0.7390055578928008,0.5982,Archetype_A,0.0,23.9,0.0,89.7
BR_006,1.6412415230565163,13.57836668931752,8.263601482570788,170.4966361338668,13.33836559669207,0.8021497854862505,0.766,Archetype_A,0.0,2.1,0.0,71.1
BR_007,1.816746556946321,16.028006760566488,6.813433809313075,307.85209003660816,9.309962059963658,0.7383886375856039,0.666,Archetype_A,0.0,0.0,0.0,99.0
BR_008,3.695626952722681,25.89730882006477,8.673200368430582,264.4144069865878,6.2017283656945,1.2699361575429038,0.3712,Archetype_A,41.5,61.1,0.0,95.7
BR_009,2.8050767715089293,13.65913402199174,5.008994134038612,87.25213586603799,6.654540419868123,1.015894876580803,0.4535,Archetype_A,57.8,59.6,0.0,46.5
BR_010,3.0419503139373596,21.881314972036435,3.989389187127599,125.55440823820082,4.822431052925528,0.9178691816951621,0.3402,Archetype_A,66.2,78.2,0.0,57.1
BR_011,2.0899138420115158,15.961602755866968,4.826404487827895,196.87674226541557,10.545293252451522,0.5248884369918132,0.6671,Archetype_A,23.0,53.1,0.0,54.0
BR_012,3.5100410219059217,19.056939630532945,3.6948708552710716,291.59976800313103,7.8093859717819045,1.075851933925561,0.434,Archetype_A,32.1,41.8,0.0,40.8
BR_013,3.0411698630230126,23.107910876405832,7.238388079165746,193.24567380406586,5.651210820776243,1.0276400123549234,0.3722,Archetype_A,43.7,65.5,0.0,95.2
BR_014,2.193928422466142,14.293106361161405,8.312560493999348,201.81454335242884,8.928394933846686,0.9848232102391666,0.5734,Archetype_A,10.4,36.0,0.0,92.1
BR_015,1.7609978613371795,16.6138836853596,3.049455806691632,95.52156167934126,9.03484051061345,0.7373831949285456,0.659,Archetype_A,55.6,78.1,0.0,-0.0
BR_016,1.719678730053763,17.433893739170365,4.8486527695594175,197.20115283186306,5.632845129444299,1.2925288602491931,0.4588,Archetype_A,29.0,41.2,0.0,64.4
